id,Company,TypeName,Inches,Ram,OpSys,Weight,ScreenWidth,ScreenHeight,Touchscreen,IPS,marca_cpu,velocidad_cpu,total_almacenamiento_gb,ssd,hdd,flash,GPU_Intel,GPU_AMD,GPU_Nvidia,Price_euros
966,10,3,15.6,8.0,5,2.3,1920,1080,0,1,1,2.6,256.0,1,0,0,1,0,0,1529.0
794,12,3,14.0,2.0,5,1.4,1920,1080,0,0,1,1.44,32.0,0,0,1,1,0,0,239.0
763,10,5,15.6,8.0,5,2.67,1920,1080,0,0,1,2.8,512.0,1,0,0,0,0,1,1925.0
946,10,3,15.6,4.0,5,1.85,1920,1080,0,0,1,2.0,1024.0,0,1,0,1,0,0,414.9
1298,0,3,15.6,4.0,5,2.2,1366,768,0,0,1,2.0,500.0,0,1,0,0,0,1,469.0
715,2,3,14.0,4.0,5,1.5,1366,768,0,0,1,1.1,32.0,0,0,1,1,0,0,278.0
762,4,4,13.3,8.0,5,1.2,1920,1080,0,0,1,1.8,256.0,1,0,0,1,0,0,1449.0
1101,11,1,15.6,8.0,5,2.2,1920,1080,0,0,1,2.5,1152.0,1,1,0,0,0,1,1089.0
994,7,2,12.5,8.0,5,0.97,1920,1080,0,0,1,1.2,512.0,1,0,0,1,0,0,1908.0
528,4,4,14.0,8.0,2,1.6,1920,1080,0,0,1,2.8,256.0,1,0,0,1,0,0,1099.0
926,10,3,15.6,8.0,4,2.2,1366,768,0,0,1,2.5,500.0,0,1,0,0,0,1,629.0
791,7,3,15.6,4.0,4,1.86,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,345.99
351,0,3,14.0,4.0,1,1.68,1366,768,0,0,1,1.6,32.0,0,0,1,1,0,0,349.0
166,4,3,15.6,8.0,7,2.09,1920,1080,0,0,1,2.4,256.0,1,0,0,1,0,0,1062.95
1196,0,3,15.6,4.0,5,2.1,1366,768,0,0,1,1.1,1024.0,0,1,0,1,0,0,348.0
1056,4,3,15.6,8.0,5,2.33,1920,1080,0,0,1,1.6,1152.0,1,1,0,0,1,0,844.0
909,14,1,17.3,32.0,5,3.49,3840,2160,1,0,1,2.9,1024.0,1,0,0,0,0,1,6099.0
1189,10,3,15.6,4.0,5,2.2,1366,768,0,0,0,2.2,128.0,1,0,0,0,1,0,349.0
654,11,1,17.3,16.0,5,3.78,1920,1080,0,0,1,2.8,1280.0,1,1,0,0,0,1,2499.0
968,10,3,15.6,4.0,5,2.2,1920,1080,0,0,1,2.3,500.0,0,1,0,1,0,0,535.0
1027,7,4,12.5,8.0,7,1.26,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,2296.95
217,10,2,11.6,4.0,5,1.4,1366,768,1,0,1,1.6,128.0,1,0,0,1,0,0,475.0
1224,10,4,12.5,8.0,5,1.36,1920,1080,0,1,1,2.7,256.0,1,0,0,1,0,0,1584.0
559,4,3,17.3,16.0,5,2.77,1920,1080,1,0,1,1.8,512.0,1,0,0,0,0,1,1549.0
136,4,4,13.3,8.0,5,1.29,1920,1080,1,1,1,2.5,128.0,1,0,0,1,0,0,899.0
420,4,0,13.3,8.0,5,1.62,1920,1080,1,1,1,1.8,1024.0,0,1,0,1,0,0,839.0
54,16,4,13.3,32.0,5,1.05,1920,1080,1,0,1,2.7,512.0,1,0,0,1,0,0,2799.0
788,0,3,15.6,4.0,5,2.1,1366,768,0,0,0,3.0,256.0,1,0,0,0,1,0,451.0
628,7,3,15.6,8.0,5,2.2,1920,1080,0,1,1,2.5,1152.0,1,1,0,0,0,1,1099.0
1215,10,3,15.6,8.0,5,2.05,1920,1080,0,0,1,1.8,256.0,1,0,0,1,0,0,880.0
396,10,3,15.6,4.0,4,1.9,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,339.0
1083,2,3,15.6,4.0,5,2.2,1366,768,0,0,1,1.6,500.0,0,1,0,1,0,0,369.0
20,7,0,13.3,8.0,5,1.28,1920,1080,1,0,1,2.5,256.0,1,0,0,1,0,0,2277.0
1263,7,3,13.3,16.0,5,1.49,1920,1080,0,0,1,1.8,512.0,1,0,0,1,0,0,1197.0
258,4,1,15.6,8.0,2,2.62,1920,1080,0,0,1,2.8,1024.0,0,1,0,0,0,1,929.0
159,4,3,15.6,4.0,5,2.18,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,558.6
572,10,1,15.6,16.0,5,2.5,1920,1080,0,1,0,2.1,1536.0,1,1,0,0,1,0,999.0
374,16,3,15.6,8.0,5,2.0,1920,1080,0,1,1,2.5,500.0,0,1,0,1,0,0,860.0
25,7,4,12.5,8.0,7,1.26,1366,768,0,0,1,2.4,256.0,1,0,0,1,0,0,1895.0
345,10,1,15.6,4.0,5,2.4,1920,1080,0,1,1,2.8,1024.0,0,1,0,0,0,1,999.0
827,4,2,11.6,4.0,5,1.63,1366,768,0,0,1,1.1,128.0,1,0,0,1,0,0,744.0
661,7,3,15.6,8.0,5,2.04,1920,1080,0,0,1,2.5,256.0,1,0,0,0,0,1,889.0
102,10,0,13.3,8.0,5,1.37,1920,1080,1,1,1,2.7,512.0,1,0,0,1,0,0,2025.0
185,2,1,17.3,8.0,5,2.73,1920,1080,0,1,1,2.5,1152.0,1,1,0,0,0,1,1770.0
69,2,3,17.3,8.0,5,2.69,1920,1080,0,0,1,2.5,756.0,1,1,0,0,0,1,891.0
327,11,1,15.6,16.0,5,2.4,1920,1080,0,1,1,2.8,1280.0,1,1,0,0,0,1,1799.0
439,0,2,11.6,4.0,1,1.25,1366,768,0,1,1,1.6,32.0,0,0,1,1,0,0,297.0
662,11,1,17.3,16.0,5,4.14,1920,1080,0,0,1,2.8,1536.0,1,1,0,0,0,1,2499.0
799,2,3,15.6,4.0,5,2.2,1920,1080,0,0,0,2.5,1152.0,1,1,0,0,1,0,575.0
555,7,3,15.6,4.0,5,2.1,1920,1080,0,1,1,1.6,500.0,0,1,0,1,0,0,722.0
40,16,3,14.0,4.0,5,1.75,1366,768,0,1,1,2.3,128.0,1,0,0,1,0,0,1020.0
1110,10,0,13.3,16.0,5,1.3,3200,1800,1,1,1,2.5,512.0,1,0,0,1,0,0,1499.0
998,7,4,14.0,8.0,5,1.36,1920,1080,0,1,1,2.7,256.0,1,0,0,1,0,0,1750.0
500,11,1,17.3,8.0,5,2.9,1920,1080,0,0,1,2.6,1152.0,1,1,0,0,0,1,1511.19
734,4,4,13.3,8.0,5,1.23,3200,1800,1,0,1,1.6,256.0,1,0,0,1,0,0,1869.0
974,10,3,14.0,8.0,5,1.7,1920,1080,0,0,1,2.5,180.0,1,0,0,1,0,0,1364.0
117,7,0,13.3,4.0,5,1.28,1920,1080,1,0,1,2.5,256.0,1,0,0,1,0,0,1799.0
392,7,3,15.6,4.0,5,2.04,1366,768,0,0,1,2.4,256.0,1,0,0,1,0,0,769.99
1060,4,3,15.6,16.0,5,2.2,1920,1080,0,0,1,1.8,2304.0,1,1,0,0,1,0,1219.24
613,2,3,15.6,8.0,5,2.37,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,1099.0
711,7,3,14.0,8.0,5,1.63,1920,1080,0,0,1,1.8,512.0,1,0,0,1,0,0,1084.0
1245,4,3,15.6,4.0,5,2.18,1366,768,0,0,1,2.4,128.0,1,0,0,1,0,0,547.0
639,2,4,14.0,8.0,5,1.1,1920,1080,0,0,1,2.7,512.0,1,0,0,1,0,0,1873.0
9,0,3,17.3,4.0,5,3.0,1920,1080,0,1,1,1.6,256.0,1,0,0,0,0,1,805.0
1213,10,3,15.6,4.0,4,1.9,1366,768,0,0,1,2.0,500.0,0,1,0,1,0,0,450.0
535,4,1,15.6,8.0,5,2.62,1920,1080,0,1,1,2.8,1152.0,1,1,0,0,0,1,1159.0
155,4,4,13.3,8.0,2,1.23,3200,1800,1,0,1,2.4,256.0,1,0,0,1,0,0,1099.0
1074,7,3,17.3,8.0,5,2.63,1920,1080,0,0,1,2.7,1024.0,0,1,0,0,0,1,1280.0
472,4,0,11.6,4.0,5,1.39,1366,768,1,0,1,1.0,128.0,1,0,0,1,0,0,603.0
47,10,3,17.3,4.0,4,2.8,1920,1080,0,0,1,2.0,500.0,0,1,0,1,0,0,529.0
5,7,3,17.3,8.0,5,2.5,1920,1080,0,0,1,1.6,256.0,1,0,0,1,0,0,928.0
466,2,3,15.6,4.0,5,2.0,1366,768,0,0,1,2.4,1024.0,0,1,0,1,0,0,435.0
712,7,3,14.0,8.0,5,1.63,1920,1080,0,0,1,1.6,1024.0,0,1,0,1,0,0,812.0
212,0,3,14.0,8.0,5,1.5,1920,1080,0,1,1,2.4,128.0,1,0,0,1,0,0,619.0
1067,7,3,15.6,8.0,4,1.86,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,575.0
785,7,3,15.6,8.0,5,2.04,1366,768,0,0,1,1.6,2048.0,0,1,0,1,0,0,389.0
332,4,3,15.6,8.0,5,1.95,1366,768,0,0,1,2.5,128.0,1,0,0,1,0,0,810.0
1199,11,1,15.6,16.0,5,2.94,1920,1080,0,0,1,2.8,1280.0,1,1,0,0,0,1,2267.86
412,4,3,15.6,8.0,5,2.0,1920,1080,0,0,1,2.8,256.0,1,0,0,0,0,1,1829.0
200,7,4,14.0,8.0,5,1.43,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,1500.0
509,16,3,15.6,8.0,5,2.0,1920,1080,0,1,1,2.5,256.0,1,0,0,1,0,0,943.0
411,11,1,15.6,8.0,5,2.2,1920,1080,0,0,1,2.8,1152.0,1,1,0,0,0,1,1149.0
627,10,0,13.3,8.0,5,1.37,1920,1080,1,1,1,2.7,256.0,1,0,0,1,0,0,1950.0
1088,10,3,15.6,12.0,5,2.2,1920,1080,0,0,0,3.6,2048.0,0,1,0,0,1,0,899.0
881,4,3,15.6,4.0,5,1.95,1366,768,0,0,1,2.3,500.0,0,1,0,1,0,0,729.9
914,4,0,13.3,16.0,5,1.22,3200,1800,1,0,1,1.3,512.0,1,0,0,1,0,0,1899.0
690,16,3,15.6,8.0,5,2.0,1366,768,0,0,1,2.5,128.0,1,0,0,1,0,0,793.0
111,7,3,15.6,8.0,5,1.9,1920,1080,0,0,1,2.5,500.0,0,1,0,0,1,0,1154.0
26,7,3,15.6,8.0,5,2.04,1920,1080,0,1,1,2.7,1152.0,1,1,0,0,0,1,979.0
375,4,1,17.3,16.0,5,4.42,1920,1080,0,1,1,2.8,1280.0,1,1,0,0,0,1,2699.0
289,7,3,15.6,12.0,5,2.21,1920,1080,0,1,1,2.8,1152.0,1,1,0,0,0,1,1327.0
1007,7,3,13.3,4.0,5,1.32,1920,1080,0,1,1,2.5,256.0,1,0,0,1,0,0,699.0
476,10,0,10.1,4.0,5,0.69,1920,1200,1,1,1,1.44,64.0,0,0,1,1,0,0,479.0
475,2,3,14.0,8.0,5,1.4,1920,1080,0,0,1,1.6,256.0,1,0,0,1,0,0,941.0
125,0,3,15.6,8.0,2,2.5,1920,1080,0,0,1,2.8,256.0,1,0,0,0,0,1,879.0
1154,7,4,14.0,8.0,5,1.54,1920,1080,0,0,1,2.5,512.0,1,0,0,1,0,0,1468.0
1184,7,5,15.6,8.0,5,2.6,1920,1080,0,0,1,2.8,256.0,1,0,0,0,0,1,1738.27
322,5,3,15.6,8.0,5,2.2,1366,768,0,0,1,2.5,1024.0,0,1,0,1,0,0,739.0
280,15,4,15.0,16.0,5,1.23,1920,1080,0,0,1,2.7,256.0,1,0,0,0,0,1,1849.0
63,10,3,15.6,8.0,4,2.2,1920,1080,0,0,1,2.5,256.0,1,0,0,0,0,1,629.0
547,2,1,15.6,16.0,5,2.1,1920,1080,0,0,1,2.8,1152.0,1,1,0,0,0,1,1899.0
1293,10,3,13.3,4.0,1,1.45,1366,768,0,0,1,1.6,16.0,0,0,1,1,0,0,459.9
536,0,3,15.6,4.0,2,2.1,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,390.0
687,10,3,15.6,4.0,5,1.9,1366,768,0,0,1,2.5,128.0,1,0,0,1,0,0,498.0
1023,4,3,15.6,8.0,2,2.2,1920,1080,0,0,1,2.7,1024.0,0,1,0,0,1,0,599.9
210,7,3,15.6,4.0,5,2.1,1920,1080,0,0,0,2.5,1024.0,0,1,0,0,1,0,398.0
657,4,3,15.6,8.0,5,1.9,1366,768,0,0,1,2.6,500.0,0,1,0,1,0,0,1008.52
671,2,1,15.6,8.0,5,2.3,1920,1080,0,1,1,2.8,1152.0,1,1,0,0,0,1,1655.0
194,10,3,15.6,4.0,5,2.3,1920,1080,0,1,1,2.3,1024.0,0,1,0,0,0,1,977.0
672,7,3,14.0,8.0,5,1.48,1920,1080,0,0,1,2.7,256.0,1,0,0,1,0,0,1292.0
1152,0,3,15.6,4.0,5,2.23,1366,768,0,0,1,2.5,500.0,0,1,0,1,0,0,619.0
201,11,1,17.3,16.0,5,2.8,1920,1080,0,0,1,2.8,1280.0,1,1,0,0,0,1,1890.0
792,0,3,14.0,8.0,5,2.1,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,389.0
306,10,4,14.0,16.0,5,1.14,1920,1080,0,1,1,2.7,512.0,1,0,0,1,0,0,2450.0
828,4,3,15.6,16.0,5,2.3,1920,1080,1,0,1,2.7,1024.0,0,1,0,0,1,0,859.01
1055,7,2,12.5,8.0,5,1.26,1920,1080,0,0,1,2.7,512.0,1,0,0,1,0,0,1483.0
813,4,1,17.3,32.0,5,4.36,3840,2160,0,0,1,2.8,2048.0,1,1,0,0,0,1,3659.4
1000,0,0,13.3,8.0,5,1.6,1920,1080,1,1,1,2.5,256.0,1,0,0,1,0,0,789.01
110,7,3,15.6,8.0,5,2.04,1920,1080,0,0,1,2.5,1024.0,0,1,0,1,0,0,806.0
399,0,3,15.6,4.0,2,2.4,1366,768,0,0,1,2.5,500.0,0,1,0,1,0,0,441.8
636,10,3,15.6,8.0,4,2.2,1920,1080,0,0,1,2.7,1024.0,0,1,0,0,0,1,709.0
1264,7,4,14.0,4.0,5,1.48,1920,1080,0,0,1,2.7,256.0,1,0,0,1,0,0,1082.0
318,10,1,15.6,16.0,5,2.5,1920,1080,0,1,1,2.8,256.0,1,0,0,0,0,1,1079.0
172,0,0,14.0,8.0,5,1.2,1920,1080,1,1,1,1.3,256.0,1,0,0,1,0,0,1149.0
293,0,3,15.6,8.0,5,3.0,1920,1080,0,1,1,1.8,256.0,1,0,0,0,0,1,951.0
138,10,0,14.0,8.0,7,1.8,1920,1080,1,1,1,2.6,512.0,1,0,0,0,0,1,2050.38
747,11,1,15.6,8.0,5,2.3,1920,1080,0,0,1,2.6,1152.0,1,1,0,0,0,1,1169.0
801,10,3,14.0,16.0,7,1.1,2560,1440,0,1,1,2.6,256.0,1,0,0,1,0,0,2620.0
45,4,4,14.0,8.0,5,1.36,1920,1080,0,0,1,2.8,512.0,1,0,0,1,0,0,1680.0
1262,10,3,15.6,8.0,5,2.2,1366,768,0,0,1,2.0,128.0,1,0,0,1,0,0,589.0
923,0,0,13.3,8.0,5,1.6,1920,1080,1,1,1,2.3,256.0,1,0,0,1,0,0,689.0
879,0,3,17.3,8.0,5,3.3,1600,900,0,0,1,2.0,1024.0,0,1,0,0,0,1,629.0
931,16,4,13.3,8.0,5,1.2,1920,1080,0,0,1,2.3,256.0,1,0,0,1,0,0,1590.0
730,2,1,15.6,8.0,5,2.2,1920,1080,0,0,1,2.6,1024.0,0,1,0,0,0,1,1169.0
55,2,3,15.6,8.0,2,2.3,1920,1080,0,0,1,2.4,1024.0,0,1,0,0,0,1,597.0
373,7,0,13.3,8.0,5,1.48,2560,1440,1,0,1,2.6,512.0,1,0,0,1,0,0,2041.0
603,10,3,15.6,6.0,5,2.2,1920,1080,0,0,1,2.7,256.0,1,0,0,0,0,1,789.0
197,16,3,13.3,8.0,5,1.05,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,1475.0
599,2,1,17.3,8.0,5,3.2,1920,1080,0,0,0,3.2,1280.0,1,1,0,0,1,0,1695.0
1258,0,1,17.3,16.0,5,4.2,1920,1080,0,1,1,2.8,1280.0,1,1,0,0,0,1,2299.0
682,7,3,14.0,4.0,5,1.63,1366,768,0,1,1,1.6,500.0,0,1,0,1,0,0,722.0
752,0,4,14.0,8.0,5,1.6,1920,1080,0,1,1,1.6,256.0,1,0,0,1,0,0,770.0
283,12,3,13.3,4.0,5,1.35,1920,1080,0,1,1,1.44,32.0,0,0,1,1,0,0,255.0
1205,16,3,15.6,8.0,5,2.0,1920,1080,0,1,1,2.7,256.0,1,0,0,1,0,0,1388.0
1237,0,3,15.6,4.0,2,2.1,1366,768,0,0,1,2.0,1024.0,0,1,0,1,0,0,272.0
28,4,0,15.6,12.0,5,2.19,1920,1080,1,1,1,2.7,512.0,1,0,0,1,0,0,1299.0
809,4,3,15.6,8.0,5,2.13,1920,1080,0,0,1,1.8,256.0,1,0,0,0,1,0,767.8
1274,7,3,15.6,6.0,5,1.91,1920,1080,0,1,0,2.5,128.0,1,0,0,0,1,0,568.9
532,7,3,15.6,8.0,5,1.96,1920,1080,0,0,1,2.5,256.0,1,0,0,1,0,0,598.99
1167,14,1,14.0,16.0,5,1.95,1920,1080,0,0,1,2.8,1024.0,1,0,0,0,0,1,3499.0
942,10,3,15.6,8.0,5,2.3,1920,1080,0,1,1,2.5,256.0,1,0,0,1,0,0,911.0
638,0,3,15.6,6.0,5,2.1,1920,1080,1,1,1,2.4,1024.0,0,1,0,1,0,0,479.0
739,7,3,15.6,8.0,5,2.04,1920,1080,0,0,1,2.7,1024.0,0,1,0,0,0,1,900.0
1181,2,3,15.6,4.0,5,2.37,1366,768,0,0,1,2.4,1024.0,0,1,0,1,0,0,398.99
109,2,1,17.3,16.0,5,4.0,1920,1080,0,1,1,2.6,1152.0,1,1,0,0,0,1,1900.0
1235,4,3,15.6,8.0,5,2.18,1366,768,0,0,1,2.5,128.0,1,0,0,1,0,0,713.99
640,7,4,15.6,8.0,5,1.84,1920,1080,0,0,1,2.5,256.0,1,0,0,0,1,0,1296.99
319,10,3,15.6,8.0,4,2.3,1920,1080,0,1,1,2.5,256.0,1,0,0,1,0,0,573.0
1002,2,3,14.0,2.0,5,1.65,1366,768,0,0,0,1.5,32.0,0,0,1,0,1,0,199.0
132,4,3,14.0,4.0,5,1.76,1366,768,0,0,1,2.3,500.0,0,1,0,1,0,0,755.0
560,7,2,11.6,2.0,5,1.17,1366,768,0,0,1,1.6,32.0,0,0,1,1,0,0,209.0
601,2,3,15.6,4.0,5,1.86,1366,768,0,0,1,1.1,128.0,1,0,0,1,0,0,419.0
495,4,1,17.3,32.0,5,4.42,1920,1080,0,1,1,2.8,1536.0,1,1,0,0,0,1,3072.89
839,2,1,15.6,16.0,5,2.5,1920,1080,0,0,1,2.8,1280.0,1,1,0,0,0,1,1799.0
622,4,0,15.6,8.0,5,2.67,1920,1080,1,0,1,1.6,256.0,1,0,0,1,0,0,799.0
619,2,3,17.3,4.0,5,2.0,1920,1080,0,0,1,2.0,1024.0,0,1,0,0,0,1,564.0
631,11,1,14.0,16.0,5,1.6,1920,1080,0,1,1,2.8,1280.0,1,1,0,0,0,1,1891.0
515,10,3,17.3,8.0,4,2.8,1600,900,0,0,1,1.6,256.0,1,0,0,0,0,1,698.0
869,9,4,15.6,8.0,5,1.09,1920,1080,0,1,1,1.8,512.0,1,0,0,1,0,0,2299.0
1068,7,5,15.6,8.0,7,2.59,1920,1080,0,1,1,2.6,256.0,1,0,0,0,0,1,2229.0
99,4,4,14.0,8.0,5,1.5,2560,1440,1,0,1,2.6,256.0,1,0,0,1,0,0,1962.98
795,2,3,14.0,4.0,6,1.65,1366,768,0,0,0,1.5,64.0,1,0,0,0,1,0,277.99
408,10,0,13.3,16.0,5,1.3,3200,1800,1,1,1,2.5,512.0,1,0,0,1,0,0,1499.0
634,2,1,17.3,24.0,5,4.33,1920,1080,1,1,1,2.6,1280.0,1,1,0,0,0,1,1269.0
489,0,3,15.6,4.0,5,2.1,1366,768,0,0,0,3.0,500.0,0,1,0,0,1,0,400.0
544,11,1,17.3,8.0,5,2.7,1920,1080,0,0,1,2.8,1152.0,1,1,0,0,0,1,1409.0
853,10,3,15.6,8.0,5,2.3,1920,1080,0,1,1,2.5,1024.0,0,1,0,1,0,0,850.66
15,10,3,14.0,8.0,5,1.32,1920,1080,0,1,1,2.6,256.0,1,0,0,1,0,0,1650.0
485,4,0,13.3,16.0,5,1.22,1920,1080,1,0,1,1.3,256.0,1,0,0,1,0,0,1649.0
290,2,3,15.6,4.0,5,2.0,1366,768,0,0,1,1.1,500.0,0,1,0,1,0,0,304.0
860,0,3,15.6,12.0,5,2.2,1366,768,0,1,1,1.6,1024.0,0,1,0,0,0,1,693.99
1206,7,3,14.0,4.0,5,1.95,1366,768,0,0,1,2.5,500.0,0,1,0,1,0,0,1060.0
1174,4,3,15.6,8.0,5,2.18,1920,1080,0,0,1,2.5,256.0,1,0,0,0,1,0,789.81
566,4,3,15.6,4.0,2,2.18,1366,768,0,0,1,2.0,1024.0,0,1,0,0,1,0,465.0
227,10,1,15.6,8.0,4,2.4,1920,1080,0,1,1,2.5,1152.0,1,1,0,0,0,1,809.0
